FID,MN,YR,NODEID,Lon,Lat,Fatalities,PedFatalit,BikeFatali,MVOFatalit
53,9,2016,40222,-73.73751742494645,40.69431776645132,1,0,0,1
54,9,2016,23827,-73.94627912524217,40.79224538500458,1,0,0,1
55,9,2016,9220,-74.08862987468436,40.62145775494145,1,0,0,1
56,9,2016,22211,-73.95346938783102,40.73027084504595,1,1,0,0
57,9,2016,19349,-73.96688042005664,40.693341712021656,1,0,0,1
58,9,2016,26296,-73.9260899465914,40.6569207790048,1,0,0,1
59,9,2016,36987,-73.7959072194125,40.690170546931355,1,0,0,1
60,9,2016,18160,-73.96307464084707,40.64943954955513,1,1,0,0
61,9,2016,15946,-73.98443216328758,40.690292172221845,1,0,0,1
62,9,2016,13393,-74.00045724802463,40.605934482344864,1,0,0,1
63,9,2016,17042,-73.94855543829856,40.584319985258176,1,0,1,0
64,9,2016,10766,-74.07556205858107,40.618492802784345,1,1,0,0
65,9,2016,10898,-74.07014459569507,40.61946597888837,1,0,1,0
66,9,2016,24997,-73.93503274533448,40.60173379058679,1,0,0,1
67,9,2016,12157,-74.01945720568695,40.64331988653355,1,1,0,0
68,9,2016,25548,-73.93353705703835,40.61957168132033,1,1,0,0
69,9,2016,7810,-74.11394959803555,40.5800414157344,1,0,0,1
70,9,2016,40124,-73.74163321861377,40.71478614291082,1,0,1,0
71,9,2016,23285,-73.97736044377609,40.789557772613826,1,1,0,0
72,9,2016,11281,-74.07685439631217,40.644469785337044,1,1,0,1
73,9,2016,35197,-73.80487962034368,40.69898952479124,1,1,0,0
74,9,2016,15200,-74.01359239998277,40.714494315940904,1,0,0,1
75,9,2016,25501,-73.93631792243812,40.62577464450779,1,1,0,0
76,9,2016,47101,-73.89189538224387,40.77061328523901,1,0,0,1
77,9,2016,25758,-73.92208656701872,40.62852766795151,1,0,0,1
78,9,2016,12541,-73.99277258978859,40.5731982317631,1,1,0,0
79,9,2016,59413,-73.7860041396996,40.76524422903811,1,0,0,1
80,9,2016,41782,-73.91740379594687,40.75822398401376,1,0,0,1
81,9,2016,27330,-73.94041991499483,40.69987377448103,1,0,0,1
82,9,2016,12691,-74.00493448840086,40.60507440615195,1,1,0,0
83,9,2016,55526,-73.82814743732953,40.763941059634924,1,0,0,1
84,9,2016,23836,-73.94440664148705,40.79480843744947,1,1,0,0
85,9,2016,29915,-73.90699966371066,40.70930577432632,1,1,0,0
86,9,2016,17460,-73.96188567971518,40.60733630033352,1,0,0,1
87,9,2016,4284,-74.1536109295658,40.5491483353297,1,0,0,1
88,9,2016,26865,-73.93095113071105,40.670582804259894,1,0,1,0
89,9,2016,36287,-73.79390841647138,40.68630469011211,1,1,0,1
90,9,2016,15810,-73.9934007332456,40.715354754412395,1,1,0,0
91,9,2016,47146,-73.87608949674612,40.77153690312448,1,0,0,1
92,9,2016,19816,-73.95170135952975,40.71453811680273,1,1,0,0
93,9,2016,19841,-73.9481165842794,40.70102887905811,1,0,0,1
94,9,2016,15717,-73.99236367017829,40.68969012323684,1,1,0,0
95,9,2016,54860,-73.82282536711294,40.716300258518565,1,0,0,1
96,9,2016,49567,-73.88800360123608,40.88283653307639,1,0,0,1
97,9,2016,22493,-73.9781531703951,40.75145174726522,1,0,0,1
98,9,2016,7537,-74.10303816845104,40.56355806821736,1,0,0,1
99,9,2016,15848,-73.98884531122786,40.69502153030944,1,0,1,1
100,9,2016,39481,-73.73032629006785,40.66239125950144,1,0,0,1
101,9,2016,48365,-73.87925239528822,40.834424790279535,1,0,0,1
102,9,2016,40894,-73.92655027634997,40.74201982434025,1,1,0,0
103,9,2016,18448,-73.95032596695063,40.65783743171136,1,0,0,1
